;;;;;;;;
;Treno;Annuncio;Lingua;MAS;Stato;Data ora inizio;Data ora fine;Durata
;9607;The TRENITALIA, FRECCIAROSSA HIGH SPEED train, 96 07, to NAPOLI CENTRALE,, with scheduled departure at 05.40, is now departing from platform 16. This train will call at  TORINO PORTA SUSA, MILANO CENTRALE, MILANO ROGOREDO, ROMA TIBURTINA, ROMA TERMINI..     Executive and Business class are located at the rear of the train On this train dining car service is available. .For easier boarding, passengers are kindly requested to stand along the platform, according to the position of the coach, for the purchased service level!.;Inglese;P1;A;2013-07-01 05:37:06.000;2013-07-01 05:37:41.000;00:35
;10220;Il treno REGIONALE VELOCE, 10 2 2 0, di TRENITALIA, delle ore 05.35, proveniente da CUNEO, è in arrivo al binario 2. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 05:38:14.000;2013-07-01 05:38:29.000;00:15
;24842;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 24 8 4 2, di TRENITALIA, delle ore 05.45, per SUSA, è in partenza dal binario 19.   Ferma in tutte le stazioni.    .;Italiano;P1;A;2013-07-01 05:40:06.000;2013-07-01 05:40:22.000;00:16
;10220;Il treno REGIONALE VELOCE, 10 2 2 0, di TRENITALIA, delle ore 05.35, proveniente da CUNEO, è in arrivo al binario 2. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 05:40:41.000;2013-07-01 05:40:55.000;00:14
;2003;Il treno REGIONALE VELOCE, 20 03, di TRENITALIA, delle ore 05.53, per MILANO CENTRALE, è in partenza dal binario 18.  Ferma a TORINO PORTA SUSA, CHIVASSO, santiha`, VERCELLI, NOVARA, MAGENTA, RO..     .;Italiano;P1;A;2013-07-01 05:48:06.000;2013-07-01 05:48:24.000;00:18
;4103;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 7, 41 03, di TRENITALIA, delle ore 06.00, per FOSSANO, è in partenza dal binario 3.   Ferma in tutte le stazioni.    .;Italiano;P1;A;2013-07-01 05:55:06.000;2013-07-01 05:55:20.000;00:14
;2061;Il treno REGIONALE VELOCE, 20 61, di TRENITALIA, delle ore 06.05, per PIACENZA, è in partenza dal binario 8.  Ferma a TORINO LINGOTTO, TROFARELLO, VILLANOVA, VILLAFRANCA CANTARANA, ASTI, ALESSANDRIA, TORTONA, VOGHERA, STRADELLA, CASTEL S.GIOVANNI..     .;Italiano;P1;A;2013-07-01 06:00:06.000;2013-07-01 06:00:28.000;00:22
;0;ATTENZIONE   INVITIAMO  A  NON  SOSTARE  LUNGO  I  PERCORSI  INDIVIDUATI  A  TERRA  CON  STRISCE  BLU,  DEDICATI  ALLA  CIRCOLAZIONE  DEI  CARRELLI  DI  SERVIZIO;Italiano;-;A;2013-07-01 06:00:28.000;2013-07-01 06:00:37.000;00:09
;4100;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 7, 41 00, di TRENITALIA, delle ore 06.00, proveniente da FOSSANO, è in arrivo al binario 4. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 06:02:41.000;2013-07-01 06:02:58.000;00:17
;4100;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 7, 41 00, di TRENITALIA, delle ore 06.00, proveniente da FOSSANO, è in arrivo al binario 4. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 06:03:09.000;2013-07-01 06:03:25.000;00:16
;9709;Il treno FRECCIABIANCA, 97 09, di TRENITALIA, delle ore 06.10, per VENEZIA SANTA LUCIA, è in partenza dal binario 14.  Ferma a TORINO PORTA SUSA, VERCELLI, NOVARA, MILANO CENTRALE, BRESCIA, DESENZANO, VERONA PORTA NUOVA, VICENZA, PADOVA, VENEZIA MESTRE..      .;Italiano;P1;A;2013-07-01 06:05:06.000;2013-07-01 06:05:28.000;00:22
;9709;The TRENITALIA, FRECCIABIANCA train, 97 09, to VENEZIA SANTA LUCIA,, with scheduled departure at 06.10, is now departing from platform 14. This train will call at  TORINO PORTA SUSA, VERCELLI, NOVARA, MILANO CENTRALE, BRESCIA, DESENZANO, VERONA PORTA NUOVA, VICENZA, PADOVA, VENEZIA MESTRE..     .;Inglese;P1;A;2013-07-01 06:07:07.000;2013-07-01 06:07:30.000;00:23
;24843;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 24 8 4 3, di TRENITALIA, delle ore 06.15, proveniente da SUSA, è in arrivo al binario 19. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 06:08:31.000;2013-07-01 06:08:49.000;00:18
;24843;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 24 8 4 3, di TRENITALIA, delle ore 06.15, proveniente da SUSA, è in arrivo al binario 19. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 06:09:19.000;2013-07-01 06:09:36.000;00:17
;10002;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 10 0 0 2, di TRENITALIA, delle ore 06.16, per BARDONECCHIA, è in partenza dal binario 15.  Ferma a GRUGLIASCO, COLLEGNO, ALPIGNANO, ROSTA, AVIGLIANA, BUSSOLENO, MEANA, CHIOMONTE, SALBERTRAND, OULX CESANA CLAVIERE SESTRIERE, BEAULARD..     .;Italiano;P1;A;2013-07-01 06:11:06.000;2013-07-01 06:11:30.000;00:24
;9561;Il treno ALTA VELOCITA` FRECCIAROSSA, 95 61, di TRENITALIA, delle ore 06.23, per ROMA TERMINI, è in partenza dal binario 17.  Ferma a TORINO PORTA SUSA, MILANO PORTA GARIBALDI, MILANO ROGOREDO, BOLOGNA CENTRALE, FIRENZE SANTA MARIA NOVELLA, ROMA TIBURTINA..     I livelli executive e business sono in testa al treno su questo treno è disponibile il servizio di ristorazione. . PER AGEVOLARE L`ACCESSO AL TRENO INVITIAMO I VIAGGIATORI A DISPORSI LUNGO IL MARCIAPIEDE, IN BASE ALLA POSIZIONE DELLA CARROZZA relativa al livello di servizio acquistato.;Italiano;P1;A;2013-07-01 06:18:06.000;2013-07-01 06:18:45.000;00:39
;10179;Il treno REGIONALE VELOCE, 10 1 7 9, di TRENITALIA, delle ore 06.25, per VENTIMIGLIA, è in partenza dal binario 6.  Ferma a TORINO LINGOTTO, CARMAGNOLA, CAVALLERMAGGIORE, SAVIGLIANO, FOSSANO, MONDOVI`, CEVA, CENGIO, SAN GIUSEPPE DI CAIRO, SAVONA, SPOTORNO NOLI, FINALE LIGURE MARINA, PIETRA LIGURE, LOANO, ALBENGA, ALASSIO, ANDORA, DIANO MARINA, IMPERIA PORTO MAURIZIO, TAGGIA ARMA, SAN REMO, BORDIGHERA..     .;Italiano;P1;A;2013-07-01 06:20:06.000;2013-07-01 06:20:39.000;00:33
;9561;The TRENITALIA, FRECCIAROSSA HIGH SPEED train, 95 61, to ROMA TERMINI,, with scheduled departure at 06.23, is now departing from platform 17. This train will call at  TORINO PORTA SUSA, MILANO PORTA GARIBALDI, MILANO ROGOREDO, BOLOGNA CENTRALE, FIRENZE SANTA MARIA NOVELLA, ROMA TIBURTINA..     Executive and Business class are located at the front of the train On this train dining car service is available. .For easier boarding, passengers are kindly requested to stand along the platform, according to the position of the coach, for the purchased service level!.;Inglese;P1;A;2013-07-01 06:20:40.000;2013-07-01 06:21:17.000;00:37
;23600;Il treno REGIONALE, 23 6 0 0, di TRENITALIA, delle ore 06.30, proveniente da ALESSANDRIA, è in arrivo al binario 3. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 06:27:40.000;2013-07-01 06:27:54.000;00:14
;23600;Il treno REGIONALE, 23 6 0 0, di TRENITALIA, delle ore 06.30, proveniente da ALESSANDRIA, è in arrivo al binario 3. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 06:28:16.000;2013-07-01 06:28:31.000;00:15
;503;Il treno INTERCITY, 5 0 3, di TRENITALIA, delle ore 06.35, per GENOVA PIAZZA PRINCIPE, è in partenza dal binario 1.  Ferma a TORINO LINGOTTO, ASTI, ALESSANDRIA, NOVI LIGURE..     .;Italiano;P1;A;2013-07-01 06:30:06.000;2013-07-01 06:30:21.000;00:15
;0;ATTENZIONE   INVITIAMO  A  NON  SOSTARE  LUNGO  I  PERCORSI  INDIVIDUATI  A  TERRA  CON  STRISCE  BLU,  DEDICATI  ALLA  CIRCOLAZIONE  DEI  CARRELLI  DI  SERVIZIO;Italiano;-;A;2013-07-01 06:30:21.000;2013-07-01 06:30:31.000;00:10
;10200;Il treno REGIONALE VELOCE, 10 2 0 0, di TRENITALIA, delle ore 06.35, proveniente da CUNEO, è in arrivo al binario 11, invece che al binario 5. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A2;A;2013-07-01 06:34:49.000;2013-07-01 06:35:06.000;00:17
;23633;Il treno REGIONALE, 23 6 3 3, di TRENITALIA, delle ore 06.40, per TORTONA, è in partenza dal binario 2.   Ferma in tutte le stazioni.    .;Italiano;P1;A;2013-07-01 06:35:06.000;2013-07-01 06:35:18.000;00:12
;10200;Il treno REGIONALE VELOCE, 10 2 0 0, di TRENITALIA, delle ore 06.35, proveniente da CUNEO, è in arrivo al binario 11, invece che al binario 5. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A2;A;2013-07-01 06:36:02.000;2013-07-01 06:36:19.000;00:17
;10001;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 10 0 0 1, di TRENITALIA, delle ore 06.42, proveniente da BARDONECCHIA, è in arrivo al binario 15. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 06:39:22.000;2013-07-01 06:39:39.000;00:17
;24836;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 24 8 3 6, di TRENITALIA, delle ore 06.45, per SUSA, è in partenza dal binario 19.   Ferma in tutte le stazioni.    .;Italiano;P1;A;2013-07-01 06:40:06.000;2013-07-01 06:40:22.000;00:16
;10001;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 10 0 0 1, di TRENITALIA, delle ore 06.42, proveniente da BARDONECCHIA, è in arrivo al binario 15. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 06:40:22.000;2013-07-01 06:40:39.000;00:17
;2005;Il treno REGIONALE VELOCE, 20 05, di TRENITALIA, delle ore 06.53, per MILANO CENTRALE, è in partenza dal binario 12.  Ferma a TORINO PORTA SUSA, CHIVASSO, santiha`, VERCELLI, NOVARA, MAGENTA, Rho Fiera Milano..     .;Italiano;P1;A;2013-07-01 06:48:06.000;2013-07-01 06:48:24.000;00:18
;4102;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 7, 41 02, di TRENITALIA, delle ore 07.00, proveniente da FOSSANO, è in arrivo al binario 4. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 06:59:05.000;2013-07-01 06:59:22.000;00:17
;0;ATTENZIONE   INVITIAMO  A  NON  SOSTARE  LUNGO  I  PERCORSI  INDIVIDUATI  A  TERRA  CON  STRISCE  BLU,  DEDICATI  ALLA  CIRCOLAZIONE  DEI  CARRELLI  DI  SERVIZIO;Italiano;-;A;2013-07-01 07:00:08.000;2013-07-01 07:00:18.000;00:10
;0;ATTENZIONE  SI  RAMMENTA  CHE  E`  VIETATO  APRIRE  LE  PORTE  ESTERNE  DEI  TRENI  E  SALIRE  O  SCENDERE  QUANDO  NON  SONO  COMPLETAMENTE  FERMI;Italiano;-;A;2013-07-01 07:00:18.000;2013-07-01 07:00:26.000;00:08
;4102;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 7, 41 02, di TRENITALIA, delle ore 07.00, proveniente da FOSSANO, è in arrivo al binario 4. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 07:01:20.000;2013-07-01 07:01:36.000;00:16
;9713;Il treno FRECCIABIANCA, 97 13, di TRENITALIA, delle ore 07.10, per VENEZIA SANTA LUCIA, è in partenza dal binario 10.  Ferma a TORINO PORTA SUSA, VERCELLI, NOVARA, MILANO CENTRALE, BRESCIA, DESENZANO, VERONA PORTA NUOVA, VICENZA, PADOVA, VENEZIA MESTRE..      .;Italiano;P1;A;2013-07-01 07:05:06.000;2013-07-01 07:05:28.000;00:22
;9713;The TRENITALIA, FRECCIABIANCA train, 97 13, to VENEZIA SANTA LUCIA,, with scheduled departure at 07.10, is now departing from platform 10. This train will call at  TORINO PORTA SUSA, VERCELLI, NOVARA, MILANO CENTRALE, BRESCIA, DESENZANO, VERONA PORTA NUOVA, VICENZA, PADOVA, VENEZIA MESTRE..     .;Inglese;P1;A;2013-07-01 07:07:07.000;2013-07-01 07:07:30.000;00:23
;2002;Il treno REGIONALE VELOCE, 20 02, di TRENITALIA, delle ore 07.10, proveniente da MILANO CENTRALE, è in arrivo al binario 13, invece che al binario 12. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A2;A;2013-07-01 07:07:31.000;2013-07-01 07:07:48.000;00:17
;2002;Il treno REGIONALE VELOCE, 20 02, di TRENITALIA, delle ore 07.10, proveniente da MILANO CENTRALE, è in arrivo al binario 13, invece che al binario 12. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A2;A;2013-07-01 07:08:33.000;2013-07-01 07:08:49.000;00:16
;10004;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 10 0 0 4, di TRENITALIA, delle ore 07.16, per BARDONECCHIA, è in partenza dal binario 15.  Ferma a GRUGLIASCO, COLLEGNO, ALPIGNANO, ROSTA, AVIGLIANA, BUSSOLENO, MEANA, CHIOMONTE, SALBERTRAND, OULX CESANA CLAVIERE SESTRIERE, BEAULARD..     .;Italiano;P1;A;2013-07-01 07:11:06.000;2013-07-01 07:11:31.000;00:25
;24845;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 24 8 4 5, di TRENITALIA, delle ore 07.15, proveniente da SUSA, è in arrivo al binario 18, invece che al binario 19. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A2;A;2013-07-01 07:12:05.000;2013-07-01 07:12:24.000;00:19
;24845;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 24 8 4 5, di TRENITALIA, delle ore 07.15, proveniente da SUSA, è in arrivo al binario 18, invece che al binario 19. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A2;A;2013-07-01 07:13:08.000;2013-07-01 07:13:27.000;00:19
;2159;Il treno REGIONALE VELOCE, 21 59, di TRENITALIA, delle ore 07.20, per GENOVA PIAZZA PRINCIPE, è in partenza dal binario 8.  Ferma a TORINO LINGOTTO, TROFARELLO, VILLANOVA, VILLAFRANCA CANTARANA, ASTI, ALESSANDRIA, FRUGAROLO BOSCOMARENGO, NOVI LIGURE, SERRAVALLE SCRIVIA, ARQUATA SCRIVIA, RONCO SCRIVIA, GENOVA SAMPIERDARENA..     .;Italiano;P1;A;2013-07-01 07:15:06.000;2013-07-01 07:15:32.000;00:26
;0;ATTENZIONE  SI  RAMMENTA  CHE  E`  VIETATO  APRIRE  LE  PORTE  ESTERNE  DEI  TRENI  E  SALIRE  O  SCENDERE  QUANDO  NON  SONO  COMPLETAMENTE  FERMI;Italiano;-;A;2013-07-01 07:15:32.000;2013-07-01 07:15:40.000;00:08
;9563;Il treno ALTA VELOCITA` FRECCIAROSSA, 95 63, di TRENITALIA, delle ore 07.23, per SALERNO, è in partenza dal binario 16.  Ferma a TORINO PORTA SUSA, MILANO PORTA GARIBALDI, MILANO ROGOREDO, BOLOGNA CENTRALE, FIRENZE SANTA MARIA NOVELLA, ROMA TIBURTINA, NAPOLI CENTRALE..     I livelli executive e business sono in coda al treno su questo treno è disponibile il servizio di ristorazione. . PER AGEVOLARE L`ACCESSO AL TRENO INVITIAMO I VIAGGIATORI A DISPORSI LUNGO IL MARCIAPIEDE, IN BASE ALLA POSIZIONE DELLA CARROZZA relativa al livello di servizio acquistato.;Italiano;P1;A;2013-07-01 07:18:06.000;2013-07-01 07:18:46.000;00:40
;10203;Il treno REGIONALE VELOCE, 10 2 0 3, di TRENITALIA, delle ore 07.25, per CUNEO, è in partenza dal binario 4.  Ferma a TORINO LINGOTTO, CARMAGNOLA, CAVALLERMAGGIORE, SAVIGLIANO, FOSSANO, CENTALLO..     .;Italiano;P1;A;2013-07-01 07:20:06.000;2013-07-01 07:20:23.000;00:17
